"year","code","value","system","subtype"
1987,"PAV.JELLY.CPUE",0.888,"WGOA","abundance"
1988,"PAV.JELLY.CPUE",1.26,"WGOA","abundance"
1989,"PAV.JELLY.CPUE",1.248,"WGOA","abundance"
1990,"PAV.JELLY.CPUE",-1.256,"WGOA","abundance"
1991,"PAV.JELLY.CPUE",1.398,"WGOA","abundance"
1992,"PAV.JELLY.CPUE",1.247,"WGOA","abundance"
1993,"PAV.JELLY.CPUE",1.034,"WGOA","abundance"
1994,"PAV.JELLY.CPUE",0.416,"WGOA","abundance"
1995,"PAV.JELLY.CPUE",0.791,"WGOA","abundance"
1996,"PAV.JELLY.CPUE",1.057,"WGOA","abundance"
1997,"PAV.JELLY.CPUE",0.573,"WGOA","abundance"
1998,"PAV.JELLY.CPUE",-0.202,"WGOA","abundance"
1999,"PAV.JELLY.CPUE",-1.888,"WGOA","abundance"
2000,"PAV.JELLY.CPUE",-1.713,"WGOA","abundance"
2001,"PAV.JELLY.CPUE",-1.633,"WGOA","abundance"
2002,"PAV.JELLY.CPUE",0.661,"WGOA","abundance"
2003,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
2004,"PAV.JELLY.CPUE",-0.786,"WGOA","abundance"
2005,"PAV.JELLY.CPUE",-1.85,"WGOA","abundance"
2006,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
2007,"PAV.JELLY.CPUE",-1.826,"WGOA","abundance"
2008,"PAV.JELLY.CPUE",-1.878,"WGOA","abundance"
2009,"PAV.JELLY.CPUE",-1.595,"WGOA","abundance"
2010,"PAV.JELLY.CPUE",-1.042,"WGOA","abundance"
2011,"PAV.JELLY.CPUE",-1.988,"WGOA","abundance"
2012,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
2013,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
2014,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
2015,"PAV.JELLY.CPUE",-1.448,"WGOA","abundance"
1977,"CHI.SHRIMP.CPUE",1.116,"WGOA","abundance"
1978,"CHI.SHRIMP.CPUE",1.091,"WGOA","abundance"
1979,"CHI.SHRIMP.CPUE",2.416,"WGOA","abundance"
1980,"CHI.SHRIMP.CPUE",1.638,"WGOA","abundance"
1981,"CHI.SHRIMP.CPUE",2.031,"WGOA","abundance"
1982,"CHI.SHRIMP.CPUE",1.046,"WGOA","abundance"
1983,"CHI.SHRIMP.CPUE",-0.089,"WGOA","abundance"
1984,"CHI.SHRIMP.CPUE",-0.085,"WGOA","abundance"
1985,"CHI.SHRIMP.CPUE",0.226,"WGOA","abundance"
1986,"CHI.SHRIMP.CPUE",-1.135,"WGOA","abundance"
1987,"CHI.SHRIMP.CPUE",-0.633,"WGOA","abundance"
1989,"CHI.SHRIMP.CPUE",0.937,"WGOA","abundance"
1990,"CHI.SHRIMP.CPUE",-0.235,"WGOA","abundance"
1992,"CHI.SHRIMP.CPUE",0.684,"WGOA","abundance"
1995,"CHI.SHRIMP.CPUE",1.021,"WGOA","abundance"
1998,"CHI.SHRIMP.CPUE",0.83,"WGOA","abundance"
2001,"CHI.SHRIMP.CPUE",1.462,"WGOA","abundance"
2002,"CHI.SHRIMP.CPUE",0.943,"WGOA","abundance"
2003,"CHI.SHRIMP.CPUE",1.244,"WGOA","abundance"
2004,"CHI.SHRIMP.CPUE",0.139,"WGOA","abundance"
2005,"CHI.SHRIMP.CPUE",0.532,"WGOA","abundance"
2006,"CHI.SHRIMP.CPUE",0.133,"WGOA","abundance"
2007,"CHI.SHRIMP.CPUE",0.145,"WGOA","abundance"
2008,"CHI.SHRIMP.CPUE",0.267,"WGOA","abundance"
2009,"CHI.SHRIMP.CPUE",-0.075,"WGOA","abundance"
2010,"CHI.SHRIMP.CPUE",0.233,"WGOA","abundance"
2011,"CHI.SHRIMP.CPUE",0.523,"WGOA","abundance"
2012,"CHI.SHRIMP.CPUE",0.842,"WGOA","abundance"
2013,"CHI.SHRIMP.CPUE",1.132,"WGOA","abundance"
2014,"CHI.SHRIMP.CPUE",0.174,"WGOA","abundance"
2015,"CHI.SHRIMP.CPUE",0.679,"WGOA","abundance"
2016,"CHI.SHRIMP.CPUE",1.383,"WGOA","abundance"
1977,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1978,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1979,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1980,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1981,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1982,"CHI.DOGFISH.CPUE",-1.876,"WGOA","abundance"
1983,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1984,"CHI.DOGFISH.CPUE",-1.761,"WGOA","abundance"
1985,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1986,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1987,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1989,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1990,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1992,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
1995,"CHI.DOGFISH.CPUE",-1.3,"WGOA","abundance"
1998,"CHI.DOGFISH.CPUE",-0.753,"WGOA","abundance"
2001,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
2002,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
2003,"CHI.DOGFISH.CPUE",0.311,"WGOA","abundance"
2004,"CHI.DOGFISH.CPUE",-0.236,"WGOA","abundance"
2005,"CHI.DOGFISH.CPUE",0.095,"WGOA","abundance"
2006,"CHI.DOGFISH.CPUE",-1.236,"WGOA","abundance"
2007,"CHI.DOGFISH.CPUE",-1.011,"WGOA","abundance"
2008,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
2009,"CHI.DOGFISH.CPUE",-2,"WGOA","abundance"
2010,"CHI.DOGFISH.CPUE",-1.515,"WGOA","abundance"
2011,"CHI.DOGFISH.CPUE",-0.644,"WGOA","abundance"
2012,"CHI.DOGFISH.CPUE",-0.725,"WGOA","abundance"
2013,"CHI.DOGFISH.CPUE",-1.691,"WGOA","abundance"
2014,"CHI.DOGFISH.CPUE",-0.543,"WGOA","abundance"
2015,"CHI.DOGFISH.CPUE",-0.25,"WGOA","abundance"
2016,"CHI.DOGFISH.CPUE",-0.158,"WGOA","abundance"
1977,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
1978,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
1979,"CHI.EULACHON.CPUE",-1.451,"WGOA","abundance"
1980,"CHI.EULACHON.CPUE",-1.772,"WGOA","abundance"
1981,"CHI.EULACHON.CPUE",-1.939,"WGOA","abundance"
1982,"CHI.EULACHON.CPUE",-1.389,"WGOA","abundance"
1983,"CHI.EULACHON.CPUE",-1.684,"WGOA","abundance"
1984,"CHI.EULACHON.CPUE",-1.687,"WGOA","abundance"
1985,"CHI.EULACHON.CPUE",-0.594,"WGOA","abundance"
1986,"CHI.EULACHON.CPUE",-1.422,"WGOA","abundance"
1987,"CHI.EULACHON.CPUE",-1.049,"WGOA","abundance"
1989,"CHI.EULACHON.CPUE",-1.043,"WGOA","abundance"
1990,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
1992,"CHI.EULACHON.CPUE",-1.088,"WGOA","abundance"
1995,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
1998,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
2001,"CHI.EULACHON.CPUE",-0.857,"WGOA","abundance"
2002,"CHI.EULACHON.CPUE",-0.331,"WGOA","abundance"
2003,"CHI.EULACHON.CPUE",-1.421,"WGOA","abundance"
2004,"CHI.EULACHON.CPUE",-0.717,"WGOA","abundance"
2005,"CHI.EULACHON.CPUE",-1.355,"WGOA","abundance"
2006,"CHI.EULACHON.CPUE",-1.465,"WGOA","abundance"
2007,"CHI.EULACHON.CPUE",-1.516,"WGOA","abundance"
2008,"CHI.EULACHON.CPUE",-0.994,"WGOA","abundance"
2009,"CHI.EULACHON.CPUE",-0.884,"WGOA","abundance"
2010,"CHI.EULACHON.CPUE",-2,"WGOA","abundance"
2011,"CHI.EULACHON.CPUE",-1.081,"WGOA","abundance"
2012,"CHI.EULACHON.CPUE",-0.722,"WGOA","abundance"
2013,"CHI.EULACHON.CPUE",-0.931,"WGOA","abundance"
2014,"CHI.EULACHON.CPUE",-1.381,"WGOA","abundance"
2015,"CHI.EULACHON.CPUE",-0.18,"WGOA","abundance"
2016,"CHI.EULACHON.CPUE",-0.17,"WGOA","abundance"
1977,"CHI.JELLY.CPUE",-2,"WGOA","abundance"
1978,"CHI.JELLY.CPUE",-2,"WGOA","abundance"
1979,"CHI.JELLY.CPUE",-1.533,"WGOA","abundance"
1980,"CHI.JELLY.CPUE",-1.182,"WGOA","abundance"
1981,"CHI.JELLY.CPUE",-0.714,"WGOA","abundance"
1982,"CHI.JELLY.CPUE",-1.545,"WGOA","abundance"
1983,"CHI.JELLY.CPUE",-0.36,"WGOA","abundance"
1984,"CHI.JELLY.CPUE",0.162,"WGOA","abundance"
1985,"CHI.JELLY.CPUE",-0.933,"WGOA","abundance"
1986,"CHI.JELLY.CPUE",0.567,"WGOA","abundance"
1987,"CHI.JELLY.CPUE",-0.188,"WGOA","abundance"
1989,"CHI.JELLY.CPUE",1.002,"WGOA","abundance"
1990,"CHI.JELLY.CPUE",-2,"WGOA","abundance"
1992,"CHI.JELLY.CPUE",1.219,"WGOA","abundance"
1995,"CHI.JELLY.CPUE",0.39,"WGOA","abundance"
1998,"CHI.JELLY.CPUE",1.401,"WGOA","abundance"
2001,"CHI.JELLY.CPUE",0.735,"WGOA","abundance"
2002,"CHI.JELLY.CPUE",0.932,"WGOA","abundance"
2003,"CHI.JELLY.CPUE",-0.367,"WGOA","abundance"
2004,"CHI.JELLY.CPUE",0.639,"WGOA","abundance"
2005,"CHI.JELLY.CPUE",1.728,"WGOA","abundance"
2006,"CHI.JELLY.CPUE",-0.666,"WGOA","abundance"
2007,"CHI.JELLY.CPUE",0.16,"WGOA","abundance"
2008,"CHI.JELLY.CPUE",1.384,"WGOA","abundance"
2009,"CHI.JELLY.CPUE",-1.124,"WGOA","abundance"
2010,"CHI.JELLY.CPUE",0.119,"WGOA","abundance"
2011,"CHI.JELLY.CPUE",1.095,"WGOA","abundance"
2012,"CHI.JELLY.CPUE",-0.296,"WGOA","abundance"
2013,"CHI.JELLY.CPUE",0.673,"WGOA","abundance"
2014,"CHI.JELLY.CPUE",0.378,"WGOA","abundance"
2015,"CHI.JELLY.CPUE",0.758,"WGOA","abundance"
2016,"CHI.JELLY.CPUE",1.057,"WGOA","abundance"
1976,"BLKI.PHEN.CH",198,"WGOA","mean hatch date"
1977,"BLKI.PHEN.CH",196,"WGOA","mean hatch date"
1978,"BLKI.PHEN.CH",192,"WGOA","mean hatch date"
1979,"BLKI.PHEN.CH",203,"WGOA","mean hatch date"
1980,"BLKI.PHEN.CH",193,"WGOA","mean hatch date"
1981,"BLKI.PHEN.CH",193,"WGOA","mean hatch date"
1990,"BLKI.PHEN.CH",193,"WGOA","mean hatch date"
1991,"BLKI.PHEN.CH",207,"WGOA","mean hatch date"
1998,"BLKI.PHEN.CH",210,"WGOA","mean hatch date"
2002,"BLKI.PHEN.CH",189,"WGOA","mean hatch date"
2004,"BLKI.PHEN.CH",195,"WGOA","mean hatch date"
2005,"BLKI.PHEN.CH",212,"WGOA","mean hatch date"
2006,"BLKI.PHEN.CH",198,"WGOA","mean hatch date"
2007,"BLKI.PHEN.CH",205,"WGOA","mean hatch date"
2009,"BLKI.PHEN.CH",193,"WGOA","mean hatch date"
2010,"BLKI.PHEN.CH",195,"WGOA","mean hatch date"
2012,"BLKI.PHEN.CH",188,"WGOA","mean hatch date"
2013,"BLKI.PHEN.CH",197,"WGOA","mean hatch date"
2014,"BLKI.PHEN.CH",192,"WGOA","mean hatch date"
2016,"BLKI.PHEN.CH",202,"WGOA","mean hatch date"
1979,"BLKI.PROD.CH",0.34,"WGOA",""
1980,"BLKI.PROD.CH",0.16,"WGOA",""
1981,"BLKI.PROD.CH",0.88,"WGOA",""
1989,"BLKI.PROD.CH",0,"WGOA",""
1990,"BLKI.PROD.CH",0.01,"WGOA",""
1991,"BLKI.PROD.CH",0,"WGOA",""
1995,"BLKI.PROD.CH",0.12,"WGOA",""
1998,"BLKI.PROD.CH",0.05,"WGOA",""
2002,"BLKI.PROD.CH",0.39,"WGOA",""
2004,"BLKI.PROD.CH",0.07,"WGOA",""
2005,"BLKI.PROD.CH",0.13,"WGOA",""
2006,"BLKI.PROD.CH",0.48,"WGOA",""
2007,"BLKI.PROD.CH",0.19,"WGOA",""
2009,"BLKI.PROD.CH",0,"WGOA",""
2010,"BLKI.PROD.CH",0.23,"WGOA",""
2011,"BLKI.PROD.CH",0,"WGOA",""
2012,"BLKI.PROD.CH",0.04,"WGOA",""
2013,"BLKI.PROD.CH",0.01,"WGOA",""
2014,"BLKI.PROD.CH",0.55,"WGOA",""
2015,"BLKI.PROD.CH",0,"WGOA",""
2016,"BLKI.PROD.CH",0.32,"WGOA",""
1979,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
1980,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
1981,"COMU.PHEN.CH",198,"WGOA","mean hatch date"
1989,"COMU.PHEN.CH",206,"WGOA","mean hatch date"
1990,"COMU.PHEN.CH",205,"WGOA","mean hatch date"
1991,"COMU.PHEN.CH",205,"WGOA","mean hatch date"
1995,"COMU.PHEN.CH",211,"WGOA","mean hatch date"
1998,"COMU.PHEN.CH",211,"WGOA","mean hatch date"
2002,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
2004,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
2005,"COMU.PHEN.CH",194,"WGOA","mean hatch date"
2006,"COMU.PHEN.CH",204,"WGOA","mean hatch date"
2007,"COMU.PHEN.CH",207,"WGOA","mean hatch date"
2009,"COMU.PHEN.CH",207,"WGOA","mean hatch date"
2010,"COMU.PHEN.CH",206,"WGOA","mean hatch date"
2011,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
2012,"COMU.PHEN.CH",198,"WGOA","mean hatch date"
2013,"COMU.PHEN.CH",206,"WGOA","mean hatch date"
2014,"COMU.PHEN.CH",201,"WGOA","mean hatch date"
2016,"COMU.PHEN.CH",205,"WGOA","mean hatch date"
1979,"COMU.PROD.CH",0.5,"WGOA",""
1980,"COMU.PROD.CH",0.62,"WGOA",""
1981,"COMU.PROD.CH",0.61,"WGOA",""
1989,"COMU.PROD.CH",0.6,"WGOA",""
1990,"COMU.PROD.CH",0.59,"WGOA",""
1991,"COMU.PROD.CH",0.49,"WGOA",""
1993,"COMU.PROD.CH",0.51,"WGOA",""
1995,"COMU.PROD.CH",0.49,"WGOA",""
1998,"COMU.PROD.CH",0.3,"WGOA",""
2002,"COMU.PROD.CH",0.57,"WGOA",""
2004,"COMU.PROD.CH",0.52,"WGOA",""
2005,"COMU.PROD.CH",0.58,"WGOA",""
2006,"COMU.PROD.CH",0.57,"WGOA",""
2007,"COMU.PROD.CH",0.52,"WGOA",""
2009,"COMU.PROD.CH",0.56,"WGOA",""
2010,"COMU.PROD.CH",0.44,"WGOA",""
2011,"COMU.PROD.CH",0.15,"WGOA",""
2012,"COMU.PROD.CH",0.57,"WGOA",""
2013,"COMU.PROD.CH",0.45,"WGOA",""
2014,"COMU.PROD.CH",0.61,"WGOA",""
2015,"COMU.PROD.CH",0,"WGOA",""
2016,"COMU.PROD.CH",0.48,"WGOA",""
1951,"AKCLIM_GOA_wgoa.win.sst",-1.051679972,"WGOA",""
1952,"AKCLIM_GOA_wgoa.win.sst",-0.503577932,"WGOA",""
1953,"AKCLIM_GOA_wgoa.win.sst",-0.495538657,"WGOA",""
1954,"AKCLIM_GOA_wgoa.win.sst",-0.554191854,"WGOA",""
1955,"AKCLIM_GOA_wgoa.win.sst",0.421247581,"WGOA",""
1956,"AKCLIM_GOA_wgoa.win.sst",-0.486996345,"WGOA",""
1957,"AKCLIM_GOA_wgoa.win.sst",-0.980223302,"WGOA",""
1958,"AKCLIM_GOA_wgoa.win.sst",1.18082155,"WGOA",""
1959,"AKCLIM_GOA_wgoa.win.sst",0.480472997,"WGOA",""
1960,"AKCLIM_GOA_wgoa.win.sst",0.411299784,"WGOA",""
1961,"AKCLIM_GOA_wgoa.win.sst",-0.042926638,"WGOA",""
1962,"AKCLIM_GOA_wgoa.win.sst",-0.620930608,"WGOA",""
1963,"AKCLIM_GOA_wgoa.win.sst",0.189928859,"WGOA",""
1964,"AKCLIM_GOA_wgoa.win.sst",1.103348264,"WGOA",""
1965,"AKCLIM_GOA_wgoa.win.sst",-1.049944907,"WGOA",""
1966,"AKCLIM_GOA_wgoa.win.sst",-0.379373412,"WGOA",""
1967,"AKCLIM_GOA_wgoa.win.sst",-0.547797283,"WGOA",""
1968,"AKCLIM_GOA_wgoa.win.sst",-0.021414329,"WGOA",""
1969,"AKCLIM_GOA_wgoa.win.sst",-1.250146551,"WGOA",""
1970,"AKCLIM_GOA_wgoa.win.sst",0.735870407,"WGOA",""
1971,"AKCLIM_GOA_wgoa.win.sst",-0.546540572,"WGOA",""
1972,"AKCLIM_GOA_wgoa.win.sst",-1.745629043,"WGOA",""
1973,"AKCLIM_GOA_wgoa.win.sst",-1.17534019,"WGOA",""
1974,"AKCLIM_GOA_wgoa.win.sst",-0.822520788,"WGOA",""
